央视频道,#genre#
CCTV1,http://118.248.170.104:8088/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://118.248.170.104:8088/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://118.248.170.104:8088/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://118.248.170.104:8088/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://221.13.235.33:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://118.248.170.104:8088/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://118.248.170.104:8088/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://118.248.170.104:8088/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.13.235.33:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://118.248.170.104:8088/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://118.248.170.104:8088/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://118.248.170.104:8088/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://118.248.170.104:8088/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://118.248.170.104:8088/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
东南卫视,http://118.248.170.104:8088/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://221.13.235.33:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://221.13.235.33:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://118.248.170.104:8088/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://221.13.235.33:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://118.248.170.104:8088/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://118.248.170.104:8088/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://118.248.170.104:8088/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://118.248.170.104:8088/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://118.248.170.104:8088/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://118.248.170.104:8088/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://118.248.170.104:8088/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://118.248.170.104:8088/tsfile/live/0002_2.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://118.248.170.104:8088/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://118.248.170.104:8088/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
北京卡通,http://221.13.235.33:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
河南新闻,http://221.13.235.33:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://118.248.170.104:8088/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://118.248.170.104:8088/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南金鹰卡通,http://118.248.170.104:8088/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
